candidate_id,event_group_id,event_name,event_date,event_year,event_latitude_deg,event_longitude_deg,grid_latitude_deg,grid_longitude_deg_east,latitude_index,longitude_index,land_fraction,model_surface_height_m,distance_km,dependence_component,component_representative,cluster_ids,cell_rank,primary_cell
sedongpu-2018,sedongpu,Sedongpu glacier avalanche,2018-10-16,2018,29.800000000000001,94.920000000000002,30,94.75,240,379,0.9968184232711792,3890.7294921875,27.624407493535323,sedongpu-2017-oct,False,site-sedongpu,3,False
sedongpu-2018,sedongpu,Sedongpu glacier avalanche,2018-10-16,2018,29.800000000000001,94.920000000000002,30,95,240,380,0.99443638324737549,3632.88623046875,23.53806552350721,sedongpu-2017-oct,False,site-sedongpu,4,False
chamoli-2021,chamoli-2021,Ronti Peak Chamoli rock-ice avalanche,2021-02-07,2021,30.375,79.731999999999999,30.5,79.75,238,319,1,4018.28759765625,14.006080426353915,chamoli-2021,True,,1,True
chamoli-2021,chamoli-2021,Ronti Peak Chamoli rock-ice avalanche,2021-02-07,2021,30.375,79.731999999999999,30.25,79.75,239,319,1,3488.9453125,14.006352643172546,chamoli-2021,True,,2,False
chamoli-2021,chamoli-2021,Ronti Peak Chamoli rock-ice avalanche,2021-02-07,2021,30.375,79.731999999999999,30.5,79.5,238,318,1,3092.831787109375,26.227739125191277,chamoli-2021,True,,3,False
chamoli-2021,chamoli-2021,Ronti Peak Chamoli rock-ice avalanche,2021-02-07,2021,30.375,79.731999999999999,30.25,79.5,239,318,1,2529.56201171875,26.251877408528365,chamoli-2021,True,,4,False
bukadaban-2022,bukadaban-2022,Bukadaban East glacier detachment,2022-11-01,2022,35.969000000000001,90.869,36,91,216,364,0.9997868537902832,5173.970703125,12.280588803584795,bukadaban-2022,True,,1,True
bukadaban-2022,bukadaban-2022,Bukadaban East glacier detachment,2022-11-01,2022,35.969000000000001,90.869,36,90.75,216,363,0.97920668125152588,5114.7666015625,11.248363689497902,bukadaban-2022,True,,2,False
bukadaban-2022,bukadaban-2022,Bukadaban East glacier detachment,2022-11-01,2022,35.969000000000001,90.869,35.75,91,217,364,0.93525516986846924,5109.34033203125,27.062426914417554,bukadaban-2022,True,,3,False
bukadaban-2022,bukadaban-2022,Bukadaban East glacier detachment,2022-11-01,2022,35.969000000000001,90.869,35.75,90.75,217,363,0.91509711742401123,5123.888671875,26.60847523530839,bukadaban-2022,True,,4,False
baige-2018-oct,baige-2018,Baige October landslide,2018-10-10,2018,31.0823,98.710999999999999,31,98.75,236,395,1,4096.7529296875,9.8768750870599344,baige-2018-nov,True,cascade-baige-2018,1,True
baige-2018-oct,baige-2018,Baige October landslide,2018-10-10,2018,31.0823,98.710999999999999,31.25,98.75,235,395,1,3966.236328125,19.013006215378564,baige-2018-nov,True,cascade-baige-2018,2,False
baige-2018-oct,baige-2018,Baige October landslide,2018-10-10,2018,31.0823,98.710999999999999,31,98.5,236,394,1,4168.521484375,22.087297691704418,baige-2018-nov,True,cascade-baige-2018,3,False
baige-2018-oct,baige-2018,Baige October landslide,2018-10-10,2018,31.0823,98.710999999999999,31.25,98.5,235,394,1,4079.079833984375,27.400071420367315,baige-2018-nov,True,cascade-baige-2018,4,False
baige-2018-nov,baige-2018,Baige November repeat landslide,2018-11-03,2018,31.0823,98.710999999999999,31,98.75,236,395,1,4096.7529296875,9.8768750870599344,baige-2018-nov,False,cascade-baige-2018,1,True
baige-2018-nov,baige-2018,Baige November repeat landslide,2018-11-03,2018,31.0823,98.710999999999999,31.25,98.75,235,395,1,3966.236328125,19.013006215378564,baige-2018-nov,False,cascade-baige-2018,2,False
