candidate_id,window,lapse_rate_k_per_km,site_minus_model_height_km,hours_above_273_15_k
aru-2-2016,7d_buffered,6.5,2,0
aru-2-2016,7d_buffered,9,-1,168
aru-2-2016,7d_buffered,9,0,80
aru-2-2016,7d_buffered,9,1,4
aru-2-2016,7d_buffered,9,2,0
bukadaban-2022,7d,4,-1,0
bukadaban-2022,7d,4,0,0
bukadaban-2022,7d,4,1,0
bukadaban-2022,7d,4,2,0
bukadaban-2022,7d,6.5,-1,0
bukadaban-2022,7d,6.5,0,0
bukadaban-2022,7d,6.5,1,0
bukadaban-2022,7d,6.5,2,0
bukadaban-2022,7d,9,-1,7
bukadaban-2022,7d,9,0,0
bukadaban-2022,7d,9,1,0
bukadaban-2022,7d,9,2,0
bukadaban-2022,7d_buffered,4,-1,0
bukadaban-2022,7d_buffered,4,0,0
bukadaban-2022,7d_buffered,4,1,0
bukadaban-2022,7d_buffered,4,2,0
bukadaban-2022,7d_buffered,6.5,-1,0
bukadaban-2022,7d_buffered,6.5,0,0
bukadaban-2022,7d_buffered,6.5,1,0
bukadaban-2022,7d_buffered,6.5,2,0
bukadaban-2022,7d_buffered,9,-1,5
bukadaban-2022,7d_buffered,9,0,0
bukadaban-2022,7d_buffered,9,1,0
bukadaban-2022,7d_buffered,9,2,0
chamoli-2021,7d,4,-1,6
chamoli-2021,7d,4,0,0
chamoli-2021,7d,4,1,0
chamoli-2021,7d,4,2,0
chamoli-2021,7d,6.5,-1,32
chamoli-2021,7d,6.5,0,0
chamoli-2021,7d,6.5,1,0
chamoli-2021,7d,6.5,2,0
chamoli-2021,7d,9,-1,65
chamoli-2021,7d,9,0,0
chamoli-2021,7d,9,1,0
chamoli-2021,7d,9,2,0
chamoli-2021,7d_buffered,4,-1,6
chamoli-2021,7d_buffered,4,0,0
chamoli-2021,7d_buffered,4,1,0
chamoli-2021,7d_buffered,4,2,0
chamoli-2021,7d_buffered,6.5,-1,34
chamoli-2021,7d_buffered,6.5,0,0
chamoli-2021,7d_buffered,6.5,1,0
chamoli-2021,7d_buffered,6.5,2,0
chamoli-2021,7d_buffered,9,-1,65
chamoli-2021,7d_buffered,9,0,0
chamoli-2021,7d_buffered,9,1,0
chamoli-2021,7d_buffered,9,2,0
baige-2018-oct,7d,4,-1,160
baige-2018-oct,7d,4,0,113
baige-2018-oct,7d,4,1,42
baige-2018-oct,7d,4,2,9
baige-2018-oct,7d,6.5,-1,162
baige-2018-oct,7d,6.5,0,113
