candidate_id,window,onset_role,coordinate_uncertainty_class,quantization_gap_seconds,dependence_component,component_representative,old_pilot_overlap,onset_event_mean_t2m_k,onset_warm_state_anomaly_k,onset_warm_state_rank,onset_theil_sen_k_per_decade,onset_fitted_change_1991_to_event_k,onset_linear_trend_residual_rank,calendar_event_mean_t2m_k,calendar_warm_state_anomaly_k,calendar_warm_state_rank,calendar_theil_sen_k_per_decade,calendar_fitted_change_1991_to_event_k,calendar_linear_trend_residual_rank,delta_time_warm_state_rank,delta_time_linear_trend_residual_rank,onset_four_cell_warm_rank_min,onset_four_cell_warm_rank_max,onset_four_cell_warm_rank_range,onset_four_cell_residual_rank_min,onset_four_cell_residual_rank_max,onset_four_cell_residual_rank_range
kolka-2002,2d,source_failure,le_5_km,283,kolka-2002,True,True,277.32839965820312,-4.35809326171875,0.10344827586206896,0.68713188171386719,0.75584506988525391,0.10344827586206896,278.66171264648438,-2.849517822265625,0.17241379310344829,0.53068161010742188,0.58374977111816406,0.17241379310344829,-0.068965517241379323,-0.068965517241379323,0.10344827586206896,0.10344827586206896,0,0.10344827586206896,0.10344827586206896,0
kolka-2002,30d,source_failure,le_5_km,283,kolka-2002,True,True,282.4739990234375,-0.7530517578125,0.20689655172413793,0.43142465444711536,0.47456711989182687,0.27586206896551724,282.675048828125,-0.59637451171875,0.20689655172413793,0.42124430338541663,0.46336873372395831,0.31034482758620691,0,-0.034482758620689669,0.17241379310344829,0.2413793103448276,0.068965517241379309,0.2413793103448276,0.31034482758620691,0.068965517241379309
kolka-2002,7d,source_failure,le_5_km,283,kolka-2002,True,True,281.01797485351562,-0.65283203125,0.34482758620689657,0.46506441556490385,0.51157085712139427,0.41379310344827586,281.381591796875,-0.508148193359375,0.37931034482758619,0.40797642299107145,0.4487740652901786,0.41379310344827586,-0.034482758620689613,0,0.34482758620689657,0.48275862068965519,0.13793103448275862,0.41379310344827586,0.55172413793103448,0.13793103448275862
la-perouse-2014,2d,source_failure,le_1_km,1440,la-perouse-2014,True,False,266.75726318359375,-0.261383056640625,0.44827586206896552,0.973388671875,2.2387939453125001,0.2413793103448276,264.98336791992188,-2.83282470703125,0.20689655172413793,0.83292643229166674,1.9157307942708335,0.18965517241379309,0.2413793103448276,0.051724137931034503,0.37931034482758619,0.51724137931034486,0.13793103448275867,0.2413793103448276,0.31034482758620691,0.068965517241379309
la-perouse-2014,30d,source_failure,le_1_km,1440,la-perouse-2014,True,False,266.78744506835938,0.837371826171875,0.75862068965517238,0.46608589790962834,1.0719975651921452,0.62068965517241381,266.92657470703125,1.01123046875,0.75862068965517238,0.45445033482142855,1.0452357700892856,0.62068965517241381,0,0,0.65517241379310343,0.75862068965517238,0.10344827586206895,0.58620689655172409,0.65517241379310343,0.068965517241379337
la-perouse-2014,7d,source_failure,le_1_km,1440,la-perouse-2014,True,False,259.52529907226562,-7.4912109375,0,0.77388916015625009,1.7799450683593752,0,258.827392578125,-8.335174560546875,0,0.68961765455163038,1.58612060546875,0,0,0,0,0,0,0,0,0
lamplugh-2016,2d,source_failure,le_1_km,1253,lamplugh-2016,True,False,276.82098388671875,0.158050537109375,0.51724137931034486,0.30359338831018517,0.75898347077546291,0.44827586206896552,277.66873168945312,1.410675048828125,0.7931034482758621,0.28551184612771741,0.71377961531929346,0.75862068965517238,-0.27586206896551724,-0.31034482758620685,0.44827586206896552,0.58620689655172409,0.13793103448275856,0.44827586206896552,0.51724137931034486,0.068965517241379337
lamplugh-2016,30d,source_failure,le_1_km,1253,lamplugh-2016,True,False,276.75054931640625,0.495208740234375,0.7931034482758621,0.1964992947048611,0.49124823676215279,0.72413793103448276,276.77392578125,0.555877685546875,0.82758620689655171,0.18876953124999998,0.47192382812499994,0.75862068965517238,-0.034482758620689613,-0.034482758620689613,0.7931034482758621,0.86206896551724133,0.068965517241379226,0.72413793103448276,0.82758620689655171,0.10344827586206895
lamplugh-2016,7d,source_failure,le_1_km,1253,lamplugh-2016,True,False,277.21371459960938,0.96630859375,0.72413793103448276,0.2972194126674107,0.7430485316685268,0.68965517241379315,277.157470703125,0.975372314453125,0.68965517241379315,0.320587158203125,0.8014678955078125,0.7068965517241379,0.034482758620689613,-0.017241379310344751,0.65517241379310343,0.75862068965517238,0.10344827586206895,0.58620689655172409,0.68965517241379315,0.10344827586206906
lituya-2012,2d,source_failure,le_1_km,1380,lituya-2012,True,False,273.30929565429688,-0.28265380859375,0.34482758620689657,0.20870324337121213,0.43827681107954547,0.31034482758620691,272.9508056640625,-0.351654052734375,0.37931034482758619,0.3503635951450893,0.73576354980468761,0.27586206896551724,-0.034482758620689613,0.034482758620689669,0.27586206896551724,0.51724137931034486,0.24137931034482762,0.27586206896551724,0.44827586206896552,0.17241379310344829
