candidate_id,grid_latitude_deg,grid_longitude_deg_east,primary_cell,anchor,window,event_year,event_mean_t2m_k,reference_median_t2m_k,warm_state_anomaly_k,warm_state_rank,theil_sen_k_per_decade,fitted_change_1991_to_event_k,linear_trend_residual_rank,dependence_component,component_representative
pedersen-2024,60,210.25,False,onset,7d,2024,281.50494384765625,281.29466247558594,0.2102813720703125,0.56666666666666665,0.40204847181165543,1.3267599569784629,0.40000000000000002,pedersen-2024,True
steele-2007,61,219.5,True,onset,2d,2007,271.64486694335938,270.74325561523438,0.901611328125,0.72413793103448276,0.363800048828125,0.58208007812499996,0.77586206896551724,steele-2007,True
steele-2007,61,219.5,True,onset,30d,2007,270.92529296875,270.40036010742188,0.524932861328125,0.75862068965517238,0.27851001636402029,0.44561602618243246,0.62068965517241381,steele-2007,True
steele-2007,61,219.5,True,onset,7d,2007,272.63247680664062,270.47430419921875,2.158172607421875,0.93103448275862066,0.3217315673828125,0.5147705078125,1,steele-2007,True
steele-2007,61,219.75,False,onset,2d,2007,272.3477783203125,271.29855346679688,1.049224853515625,0.75862068965517238,0.3684234619140625,0.5894775390625,0.75862068965517238,steele-2007,True
steele-2007,61,219.75,False,onset,30d,2007,271.5467529296875,271.07586669921875,0.47088623046875,0.72413793103448276,0.28413772583007812,0.454620361328125,0.62068965517241381,steele-2007,True
steele-2007,61,219.75,False,onset,7d,2007,273.12347412109375,271.26559448242188,1.857879638671875,0.93103448275862066,0.30173561789772729,0.48277698863636365,0.96551724137931039,steele-2007,True
steele-2007,61.25,219.5,False,onset,2d,2007,275.0469970703125,273.5474853515625,1.49951171875,0.7931034482758621,0.25617159329927885,0.40987454927884615,0.75862068965517238,steele-2007,True
steele-2007,61.25,219.5,False,onset,30d,2007,273.94268798828125,273.36013793945312,0.582550048828125,0.75862068965517238,0.2637057834201389,0.42192925347222221,0.72413793103448276,steele-2007,True
steele-2007,61.25,219.5,False,onset,7d,2007,275.82211303710938,273.73251342773438,2.089599609375,0.96551724137931039,0.34310591848273031,0.54896946957236847,1,steele-2007,True
steele-2007,61.25,219.75,False,onset,2d,2007,275.94772338867188,274.3819580078125,1.565765380859375,0.75862068965517238,0.18626621791294645,0.2980259486607143,0.75862068965517238,steele-2007,True
steele-2007,61.25,219.75,False,onset,30d,2007,274.7908935546875,274.3167724609375,0.47412109375,0.7931034482758621,0.27080256764481708,0.43328410823170732,0.68965517241379315,steele-2007,True
steele-2007,61.25,219.75,False,onset,7d,2007,276.50918579101562,274.54507446289062,1.964111328125,0.96551724137931039,0.32822829026442302,0.52516526442307687,0.96551724137931039,steele-2007,True
steller-2005,60.5,216.75,False,onset,2d,2005,274.52001953125,274.60372924804688,-0.083709716796875,0.48275862068965519,0.42956808338994568,0.60139531674592395,0.44827586206896552,steller-2005,True
steller-2005,60.5,216.75,False,onset,30d,2005,276.22564697265625,275.83355712890625,0.39208984375,0.65517241379310343,0.37862141927083337,0.53006998697916674,0.75862068965517238,steller-2005,True
