candidate_id,grid_latitude_deg,grid_longitude_deg_east,primary_cell,anchor,year,window,hours,mean_t2m_k
lamplugh-2016,58.5,223.25,False,calendar,1995,7d,168,279.38381958007812
lamplugh-2016,58.5,223.25,False,calendar,1995,30d,720,278.93511962890625
lamplugh-2016,58.5,223.25,False,calendar,1996,2d,48,279.72146606445312
lamplugh-2016,58.5,223.25,False,calendar,1996,7d,168,281.70233154296875
lamplugh-2016,58.5,223.25,False,calendar,1996,30d,720,279.83721923828125
lamplugh-2016,58.5,223.25,False,calendar,1997,2d,48,285.0596923828125
lamplugh-2016,58.5,223.25,False,calendar,1997,7d,168,284.8626708984375
lamplugh-2016,58.5,223.25,False,calendar,1997,30d,720,281.05230712890625
lamplugh-2016,58.5,223.25,False,calendar,1998,2d,48,281.57980346679688
lamplugh-2016,58.5,223.25,False,calendar,1998,7d,168,280.81851196289062
lamplugh-2016,58.5,223.25,False,calendar,1998,30d,720,280.31939697265625
lamplugh-2016,58.5,223.25,False,calendar,1999,2d,48,279.46563720703125
lamplugh-2016,58.5,223.25,False,calendar,1999,7d,168,279.98138427734375
lamplugh-2016,58.5,223.25,False,calendar,1999,30d,720,279.27630615234375
lamplugh-2016,58.5,223.25,False,calendar,2000,2d,48,281.75601196289062
lamplugh-2016,58.5,223.25,False,calendar,2000,7d,168,280.55209350585938
lamplugh-2016,58.5,223.25,False,calendar,2000,30d,720,279.83346557617188
lamplugh-2016,58.5,223.25,False,calendar,2001,2d,48,281.9696044921875
lamplugh-2016,58.5,223.25,False,calendar,2001,7d,168,281.0433349609375
lamplugh-2016,58.5,223.25,False,calendar,2001,30d,720,279.17498779296875
lamplugh-2016,58.5,223.25,False,calendar,2002,2d,48,279.42001342773438
lamplugh-2016,58.5,223.25,False,calendar,2002,7d,168,279.72637939453125
lamplugh-2016,58.5,223.25,False,calendar,2002,30d,720,279.37030029296875
lamplugh-2016,58.5,223.25,False,calendar,2003,2d,48,279.40261840820312
lamplugh-2016,58.5,223.25,False,calendar,2003,7d,168,279.89044189453125
lamplugh-2016,58.5,223.25,False,calendar,2003,30d,720,279.66085815429688
lamplugh-2016,58.5,223.25,False,calendar,2004,2d,48,283.17404174804688
lamplugh-2016,58.5,223.25,False,calendar,2004,7d,168,285.572998046875
lamplugh-2016,58.5,223.25,False,calendar,2004,30d,720,282.01449584960938
lamplugh-2016,58.5,223.25,False,calendar,2005,2d,48,281.75973510742188
lamplugh-2016,58.5,223.25,False,calendar,2005,7d,168,280.98638916015625
lamplugh-2016,58.5,223.25,False,calendar,2005,30d,720,280.80648803710938
lamplugh-2016,58.5,223.25,False,calendar,2006,2d,48,278.73077392578125
lamplugh-2016,58.5,223.25,False,calendar,2006,7d,168,278.8460693359375
lamplugh-2016,58.5,223.25,False,calendar,2006,30d,720,279.916259765625
lamplugh-2016,58.5,223.25,False,calendar,2007,2d,48,281.87506103515625
lamplugh-2016,58.5,223.25,False,calendar,2007,7d,168,280.109619140625
lamplugh-2016,58.5,223.25,False,calendar,2007,30d,720,279.45755004882812
lamplugh-2016,58.5,223.25,False,calendar,2008,2d,48,279.53076171875
lamplugh-2016,58.5,223.25,False,calendar,2008,7d,168,279.5096435546875
lamplugh-2016,58.5,223.25,False,calendar,2008,30d,720,278.09939575195312
lamplugh-2016,58.5,223.25,False,calendar,2009,2d,48,278.57052612304688
lamplugh-2016,58.5,223.25,False,calendar,2009,7d,168,279.11160278320312
lamplugh-2016,58.5,223.25,False,calendar,2009,30d,720,280.29351806640625
lamplugh-2016,58.5,223.25,False,calendar,2010,2d,48,279.47830200195312
lamplugh-2016,58.5,223.25,False,calendar,2010,7d,168,280.24935913085938
lamplugh-2016,58.5,223.25,False,calendar,2010,30d,720,280.01571655273438
lamplugh-2016,58.5,223.25,False,calendar,2011,2d,48,281.13763427734375
lamplugh-2016,58.5,223.25,False,calendar,2011,7d,168,281.52902221679688
lamplugh-2016,58.5,223.25,False,calendar,2011,30d,720,280.24468994140625
lamplugh-2016,58.5,223.25,False,calendar,2012,2d,48,279.19168090820312
lamplugh-2016,58.5,223.25,False,calendar,2012,7d,168,283.013427734375
lamplugh-2016,58.5,223.25,False,calendar,2012,30d,720,279.0543212890625
lamplugh-2016,58.5,223.25,False,calendar,2013,2d,48,281.9918212890625
lamplugh-2016,58.5,223.25,False,calendar,2013,7d,168,283.6351318359375
lamplugh-2016,58.5,223.25,False,calendar,2013,30d,720,282.11798095703125
lamplugh-2016,58.5,223.25,False,calendar,2014,2d,48,280.28677368164062
lamplugh-2016,58.5,223.25,False,calendar,2014,7d,168,279.96517944335938
lamplugh-2016,58.5,223.25,False,calendar,2014,30d,720,279.41046142578125
lamplugh-2016,58.5,223.25,False,calendar,2015,2d,48,281.92739868164062
lamplugh-2016,58.5,223.25,False,calendar,2015,7d,168,282.70880126953125
lamplugh-2016,58.5,223.25,False,calendar,2015,30d,720,281.39056396484375
lamplugh-2016,58.5,223.25,False,calendar,2016,2d,48,281.71463012695312
lamplugh-2016,58.5,223.25,False,calendar,2016,7d,168,281.734130859375
lamplugh-2016,58.5,223.25,False,calendar,2016,30d,720,281.07684326171875
lamplugh-2016,58.5,223.25,False,calendar,2017,2d,48,281.03329467773438
lamplugh-2016,58.5,223.25,False,calendar,2017,7d,168,280.52261352539062
lamplugh-2016,58.5,223.25,False,calendar,2017,30d,720,279.93557739257812
lamplugh-2016,58.5,223.25,False,calendar,2018,2d,48,279.84744262695312
lamplugh-2016,58.5,223.25,False,calendar,2018,7d,168,280.84515380859375
lamplugh-2016,58.5,223.25,False,calendar,2018,30d,720,279.91455078125
lamplugh-2016,58.5,223.25,False,calendar,2019,2d,48,286.03958129882812
lamplugh-2016,58.5,223.25,False,calendar,2019,7d,168,282.7939453125
