rgi_id,polygon_area_m2,intersected_area_m2,planar_relative_closure_error,geodesic_representation_difference,weight_sum
RGI2000-v7.0-G-13-20061,114836.3296662476,114836.3296662476,3.33066907387547e-16,0,1
RGI2000-v7.0-G-13-49946,1773812.951992285,1773812.951992285,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-49947,1976798.222344737,1976798.222283281,6.217248937900877e-15,3.108835411325117e-11,1
RGI2000-v7.0-G-13-49988,2045566.612421708,2045566.612421708,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-50011,2373539.324383,2373539.324383,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-50045,3422380.104918147,3422380.104855104,2.220446049250313e-15,1.84208204245806e-11,1
RGI2000-v7.0-G-13-50117,1742837.764309878,1742837.764309878,1.77635683940025e-15,0,1
RGI2000-v7.0-G-13-50140,4115786.395743103,4115786.395743103,1.110223024625157e-16,0,1
RGI2000-v7.0-G-13-50241,3315613.069814062,3315613.069814062,1.110223024625157e-15,0,1
RGI2000-v7.0-G-13-50246,3613498.570407573,3613498.570407573,9.992007221626409e-16,0,1
RGI2000-v7.0-G-13-50357,6133241.503434739,6133241.503434739,8.881784197001252e-16,0,1
RGI2000-v7.0-G-13-50518,1324512.490344262,1324512.490593097,5.10702591327572e-15,1.878688316026e-10,1
RGI2000-v7.0-G-13-50570,1662560.244341163,1662560.244341163,3.33066907387547e-16,0,1
RGI2000-v7.0-G-13-50585,226802.4448536203,226802.4448536203,0,0,1
RGI2000-v7.0-G-13-50732,2231316.211510071,2231316.211510071,1.332267629550188e-15,0,1
RGI2000-v7.0-G-13-50759,1517808.268222041,1517808.268222041,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-50778,2014525.038127014,2014525.038127014,1.110223024625157e-16,0,1
RGI2000-v7.0-G-13-50868,174807.1955358762,174807.1955358762,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-50870,3233921.936268021,3233921.936268021,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-50873,4133936.075889984,4133936.075889984,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-50879,2192007.000649801,2192007.000649801,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-51048,1063950.519023702,1063950.519023702,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-51318,343481.7402677573,343481.7402677573,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-51339,1984278.042268182,1984278.042268182,8.881784197001252e-16,0,1
RGI2000-v7.0-G-13-51439,133282.6777207609,133282.6777207609,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-51677,1554035.34150336,1554035.341949694,5.662137425588298e-15,2.872100335338246e-10,1
RGI2000-v7.0-G-13-51730,3754725.477858692,3754725.477858692,1.110223024625157e-16,0,1
RGI2000-v7.0-G-13-51759,89280.21190801542,89280.21190801542,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-51792,4189501.906760585,4189501.906760585,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-51816,1351187.026130156,1351187.026699399,6.994405055138486e-15,4.2129100208399e-10,1
RGI2000-v7.0-G-13-51863,1615128.549025303,1615128.549025303,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-51895,261774.1605975323,261774.1605975323,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-51964,2794356.383313093,2794356.383313093,0,0,1
RGI2000-v7.0-G-13-51965,4621256.580675547,4621256.580675547,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-52013,1209549.936729302,1209549.936729302,1.110223024625157e-16,0,1
RGI2000-v7.0-G-13-52015,2110519.914281549,2110519.914281549,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-52026,3479465.983883313,3479465.983883313,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-52073,1497155.787008492,1497155.787008492,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-52074,2229892.295152985,2229892.295152985,1.110223024625157e-16,0,1
RGI2000-v7.0-G-13-52131,5210927.649837147,5210927.649227887,2.331468351712829e-15,1.16919696147022e-10,1
RGI2000-v7.0-G-13-52134,4147977.820241393,4147977.820526122,2.442490654175344e-15,6.864286916652418e-11,1
RGI2000-v7.0-G-13-52154,441200.1800761693,441200.1800761693,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-52155,4716374.851631908,4716374.851631908,1.443289932012704e-15,0,1
RGI2000-v7.0-G-13-52162,2117483.295836115,2117483.295836115,0,0,1
RGI2000-v7.0-G-13-52164,5856099.904000702,5856099.904000702,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-52167,7977863.315521174,7977863.315493067,8.881784197001252e-16,3.523181746345472e-12,1
RGI2000-v7.0-G-13-52179,329552.839697174,329552.839697174,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-52183,13759178.8202256,13759178.8202256,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-52193,3196614.245022648,3196614.245022648,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-52210,117871.9814190376,117871.9814190376,3.33066907387547e-16,0,1
RGI2000-v7.0-G-13-52227,517266.5025115552,517266.5025115552,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-52233,12691988.14764055,12691988.14764055,1.77635683940025e-15,0,1
RGI2000-v7.0-G-13-52234,5606369.44204459,5606369.44204459,9.992007221626409e-16,0,1
RGI2000-v7.0-G-13-52244,3588925.992161674,3588925.992161674,0,0,1
RGI2000-v7.0-G-13-52288,1968312.901932556,1968312.901932556,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-52294,521275.9963373458,521275.9963373458,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-52319,129164.0546149262,129164.0546149262,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-52775,241390.0502335383,241390.0502335383,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-52779,865837.4733487777,865837.4733487777,1.110223024625157e-15,0,1
RGI2000-v7.0-G-13-52786,2059020.739688063,2059020.73898879,5.329070518200751e-15,3.396142256306689e-10,1
RGI2000-v7.0-G-13-52828,333299.8881469992,333299.8881469992,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-52905,1801159.825218811,1801159.825218811,1.110223024625157e-16,0,1
RGI2000-v7.0-G-13-52927,319692.3757190734,319692.3757190734,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-52928,267525.3159152798,267525.3159152798,1.110223024625157e-15,0,1
RGI2000-v7.0-G-13-52971,4333311.897557903,4333311.897557903,1.332267629550188e-15,0,1
RGI2000-v7.0-G-13-52988,4685280.1176208,4685280.1176208,1.77635683940025e-15,0,1
RGI2000-v7.0-G-13-53065,2384057.469472918,2384057.469472918,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-53092,104601.8508622725,104601.8508622725,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-53220,2129810.909428627,2129810.909428627,8.881784197001252e-16,0,1
