latitude,longitude,year,hour_count,t2m_mean_k,missing_reason
36.50,87.50,2010,8760,260.91417239986055,
36.75,84.50,2010,8760,266.519149543379,
36.75,84.75,2010,8760,263.76044612518729,
37.50,71.25,2010,8760,269.47621332978548,
37.75,70.75,2010,8760,272.69148580298577,
37.75,71.25,2010,8760,268.92912648693067,
37.75,88.25,2010,8760,264.68375180910709,
38.00,70.75,2010,8760,271.13969365124291,
38.00,71.00,2010,8760,268.5703543501902,
38.00,71.25,2010,8760,268.6249000618991,
38.00,71.75,2010,8760,266.56153032485753,
38.25,70.25,2010,8760,280.11851406184508,
38.25,71.00,2010,8760,271.16903247049407,
38.50,70.50,2010,8760,275.75323398886206,
38.50,71.00,2010,8760,271.60863209206218,
38.50,71.25,2010,8760,269.18564961402927,
38.50,72.00,2010,8760,263.76248416639356,
38.75,71.00,2010,8760,270.73904306594642,
38.75,71.25,2010,8760,268.20161618968666,
38.75,71.75,2010,8760,265.03169654079767,
38.75,72.00,2010,8760,262.58004510783712,
39.00,70.50,2010,8760,276.64798285776078,
39.00,70.75,2010,8760,273.66682005059226,
39.00,71.00,2010,8760,272.84063011935859,
39.00,71.25,2010,8760,271.22162459038162,
39.25,72.00,2010,8760,265.24001160364719,
39.50,72.00,2010,8760,271.47097335014172,
39.50,73.75,2010,8760,265.45551462217009,
60.50,221.50,2010,8760,265.59628952409577,
60.75,218.50,2010,8760,265.23723513459504,
60.75,218.75,2010,8760,264.05760917489386,
60.75,219.00,2010,8760,263.15965813588878,
60.75,221.50,2010,8760,265.89042480677773,
61.00,218.00,2010,8760,267.76581272839411,
61.00,218.75,2010,8760,263.66291626882338,
61.00,219.00,2010,8760,262.38317213014926,
61.00,220.75,2010,8760,263.55906421887818,
61.00,221.00,2010,8760,264.40322622360162,
61.25,220.25,2010,8760,265.00413366343878,
61.25,220.50,2010,8760,266.52867726365179,
61.50,217.75,2010,8760,265.96662561947898,
61.50,218.00,2010,8760,263.27587046514361,
61.50,218.50,2010,8760,263.3919605011265,
61.75,218.50,2010,8760,265.96232940987363,
62.25,218.25,2010,8760,267.16838229453725,
28.25,89.75,2011,8760,268.72245714370518,
28.25,90.00,2011,8760,266.84784617663519,
28.25,90.25,2011,8760,266.7573036716409,
29.25,83.75,2011,8760,266.52337009656372,
30.00,82.50,2011,8760,266.49274791386574,
30.00,85.00,2011,8760,265.41370079179876,
30.25,82.00,2011,8760,265.35153454471396,
30.25,82.25,2011,8760,265.07161226664505,
30.50,84.25,2011,8760,265.82694792551536,
30.50,86.50,2011,8760,270.89239773684983,
30.75,82.75,2011,8760,264.35186183703001,
30.75,83.00,2011,8760,264.57931886263634,
30.75,83.25,2011,8760,265.36916639423805,
31.00,82.25,2011,8760,264.97701059106276,
31.00,82.50,2011,8760,264.84569458286512,
31.00,82.75,2011,8760,265.48458831473573,
31.50,86.75,2011,8760,272.57197107985684,
31.75,85.00,2011,8760,270.43971552391577,
32.75,92.25,2011,8760,265.624546002253,
32.75,92.50,2011,8760,265.35219186059959,
32.75,92.75,2011,8760,265.46818053014749,
32.75,93.25,2011,8760,266.13773383745865,
33.00,92.00,2011,8760,265.49084144836149,
33.25,95.25,2011,8760,266.80524197234411,
33.50,86.50,2011,8760,267.98535263897622,
33.50,86.75,2011,8760,268.62472817582085,
33.75,89.00,2011,8760,265.4791505752633,
34.00,82.25,2011,8760,266.76523254429367,
34.25,79.75,2011,8760,263.54665821197369,
34.25,80.00,2011,8760,263.29137516979756,
34.50,79.75,2011,8760,263.48786822976587,
34.50,81.25,2011,8760,264.06145669249094,
34.75,82.25,2011,8760,263.4864152046099,
34.75,82.50,2011,8760,263.26535912082619,
