candidate_id,matching_level,pool_size,rgi_id,digest,rank,selected
petra-dp19,1,639,RGI2000-v7.0-G-13-07818,04edcb26dc5eabcc14a118dc33c2aef5b8962bbc2b7eae19f362afa33eebed83,16,True
petra-dp19,1,639,RGI2000-v7.0-G-13-06828,04fb1bc0c97c74e908eda6fdbfe2d9daa96377c916f0d215c5989cb5ec367063,17,True
petra-dp19,1,639,RGI2000-v7.0-G-13-07675,0582929c77a4cd43c41379d4685d8c0427cee7af80c8afdaa682158e3fd71cc0,18,True
petra-dp19,1,639,RGI2000-v7.0-G-13-07357,05efd4402ac0b0b13555d71a44b5a8256b3623d10beba211460c9581fb4c76d5,19,True
petra-dp19,1,639,RGI2000-v7.0-G-13-06035,0630c4c4fd90d9698eb5d4742c3be98e6804b4ccf5103b4c9717fca6d7b0765e,20,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-67932,002a8d6626e85e60024ce1e4f2dd308d9a1d702f9376d4173b1f983d7a5f03fd,1,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-64675,007e983490f55e0abef9cccecbbb49f6e0ba23c4fdb35b3c78239ad25d0de021,2,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-64411,009e5b5541d209e6f4d86736cc5cc9f104057cdd0e8b87b6466b09df6fcf4e95,3,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-65720,011dfd98e75f54d45a4c2e315056ecd14cb4ca40ad84907a60f937964bbf8fe0,4,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-58740,0129b37aa478e2bb9ae7a7cb89e06ef123c0a2b8d56bada2952e1bf4adda4e45,5,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-65809,01492eb41c9ee39ff0b10972b778540bf4747cf12913ab024b747d3dc5f9280e,6,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-60124,01aaaba8dc179c5a063980cb74bb83c0c3fe4a7b5726182a278ccd6d242b39d4,7,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-67219,01daa2359f517bd88f1efd6293e03b0611e8960ee5f2336c15958c9914302d1d,8,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-64333,01dc4640e4e566694d065695e7cb019f9a01b12182563fa1d02fa86a8d498ee1,9,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-64657,028236cc4e0a43228ac06b51011bba6319a6d2751634c1aeda8f5bc4be6a6c72,10,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-62360,028cf052352cb5542b605a221e10b84799c4f124b2730e70af0916ae39be87cc,11,True
