rgi_id,index_year,t2m_trend_k_decade,t2m_change_k,t2m_hac_se_k_decade,theil_sen_k_decade,slope_deg,missing_reason
RGI2000-v7.0-G-13-51895,2001,0.28853078731007198,0.54820849588913678,0.28255975390446048,0.13233084467358161,28.308239,
RGI2000-v7.0-G-13-51964,2001,0.28853078731007198,0.54820849588913678,0.28255975390446048,0.13233084467358161,17.435734,
RGI2000-v7.0-G-13-51965,2001,0.28853078731007198,0.54820849588913678,0.28255975390446048,0.13233084467358161,17.608226999999999,
RGI2000-v7.0-G-13-52013,2001,0.144629944813772,0.27479689514616684,0.27482977383016022,0.13226962362452968,19.779478000000001,
RGI2000-v7.0-G-13-52015,2001,0.144629944813772,0.27479689514616684,0.27482977383016022,0.13226962362452968,20.678370999999999,
RGI2000-v7.0-G-13-52026,2022,0.02264491021072048,0.043025329400368913,0.2230359420028285,0.094683766909349834,11.015183,
RGI2000-v7.0-G-13-52073,2001,0.50209151573880362,0.95397387990372684,0.13976896591402377,0.51340549550731285,11.682753,
RGI2000-v7.0-G-13-52074,2001,0.50209151573880362,0.95397387990372684,0.13976896591402377,0.51340549550731285,12.990052,
RGI2000-v7.0-G-13-52131,2001,0.59368929071298426,1.1280096523546701,0.12481702500851996,0.66379374871705199,13.255639,
RGI2000-v7.0-G-13-52134,2001,0.59669523395843282,1.1337209445210223,0.12245158443914246,0.64741906947264061,4.9701395000000002,
RGI2000-v7.0-G-13-52154,2001,0.55332571413324971,1.0513188568531746,0.12347898492970204,0.57638815627669659,28.886385000000001,
RGI2000-v7.0-G-13-52155,2022,0.48891085583543598,0.92893062608732835,0.12246010499932369,0.55209311448177489,21.029222000000001,
RGI2000-v7.0-G-13-52162,2022,0.48891085583543598,0.92893062608732835,0.12246010499932369,0.55209311448177489,20.619183,
RGI2000-v7.0-G-13-52164,2022,0.48891085583543598,0.92893062608732835,0.12246010499932369,0.55209311448177489,22.615182999999998,
RGI2000-v7.0-G-13-52167,2022,0.46275453235039676,0.87923361146575385,0.11934220355666686,0.50726473939323879,21.690725,
RGI2000-v7.0-G-13-52179,2001,0.59237101300312145,1.1255049247059308,0.12592594933696943,0.66812535736479139,28.598548999999998,
RGI2000-v7.0-G-13-52183,2022,0.37722799786990036,0.71673319595281071,0.11448058320677076,0.40869692690801751,20.976906,
RGI2000-v7.0-G-13-52193,2022,0.37722799786990036,0.71673319595281071,0.11448058320677076,0.40869692690801751,18.413754000000001,
RGI2000-v7.0-G-13-52210,2001,0.54616670527776634,1.037716740027756,0.14921522526202038,0.50783308511765968,23.688707000000001,
RGI2000-v7.0-G-13-52227,2001,0.54616670527776634,1.037716740027756,0.14921522526202038,0.50783308511765968,14.8544445,
RGI2000-v7.0-G-13-52233,2022,0.42791637110026826,0.81304110509050975,0.13495270845405793,0.42263412771176889,7.5517750000000001,
RGI2000-v7.0-G-13-52234,2022,0.42791637110026826,0.81304110509050975,0.13495270845405793,0.42263412771176889,6.1415243000000004,
RGI2000-v7.0-G-13-52244,2022,0.41613442314765153,0.79065540398053791,0.15088652062654376,0.46898029391261764,8.2550290000000004,
RGI2000-v7.0-G-13-52288,2001,0.50215293151058926,0.95409056987011964,0.18920731127009333,0.40773535102480801,15.064755999999999,
RGI2000-v7.0-G-13-52294,2001,0.50215293151058926,0.95409056987011964,0.18920731127009333,0.40773535102480801,19.075199999999999,
RGI2000-v7.0-G-13-52319,2001,0.50215293151058926,0.95409056987011964,0.18920731127009333,0.40773535102480801,21.196020000000001,
RGI2000-v7.0-G-13-52775,2001,0.35830149264647659,0.68077283602830552,0.24685756037606507,0.28491448471636815,27.164556999999999,
RGI2000-v7.0-G-13-52779,2001,0.35830149264647659,0.68077283602830552,0.24685756037606507,0.28491448471636815,24.787659999999999,
RGI2000-v7.0-G-13-52786,2001,0.3597182879922024,0.68346474718518457,0.24727862298439318,0.28579281370428233,18.904606000000001,
RGI2000-v7.0-G-13-52828,2001,0.30978176956547876,0.5885853621744096,0.26505802622705638,0.25786207158339369,19.946566000000001,
RGI2000-v7.0-G-13-52905,2001,0.19940387764196593,0.37886736751973527,0.28305055571702331,0.11301148868697433,18.531510999999998,
RGI2000-v7.0-G-13-52927,2001,0.30978176956547876,0.5885853621744096,0.26505802622705638,0.25786207158339369,13.806844999999999,
RGI2000-v7.0-G-13-52928,2001,0.30978176956547876,0.5885853621744096,0.26505802622705638,0.25786207158339369,14.270578,
RGI2000-v7.0-G-13-52971,2001,0.28182163144071148,0.5354610997373519,0.2064275875995791,0.18207929519064503,23.959205999999998,
RGI2000-v7.0-G-13-52988,2001,0.28182163144071148,0.5354610997373519,0.2064275875995791,0.18207929519064503,24.385760000000001,
RGI2000-v7.0-G-13-53065,2001,0.35464044378444415,0.67381684319044388,0.1828266180027418,0.37352555823436873,24.757784000000001,
RGI2000-v7.0-G-13-53092,2001,0.37566557393541505,0.71376459047728857,0.16843004500173744,0.35485958634065573,26.411724,
RGI2000-v7.0-G-13-53220,2022,0.087557203585513305,0.16635868681247529,0.20567793157755154,0.22620158398709123,24.182645999999998,
RGI2000-v7.0-G-13-53221,2022,0.087557203585513305,0.16635868681247529,0.20567793157755154,0.22620158398709123,19.965510999999999,
RGI2000-v7.0-G-13-53270,2001,0.25506972482981527,0.48463247717664898,0.16050014708151314,0.24083344915489607,25.80104,
RGI2000-v7.0-G-13-53505,2022,0.38783902439590118,0.73689414635221218,0.18559608654592336,0.36325760140514729,14.677887999999999,
RGI2000-v7.0-G-13-53508,2022,0.40265519289787899,0.76504486650597014,0.18100429990409184,0.39691188964578966,12.277373000000001,
RGI2000-v7.0-G-13-53514,2001,0.50215293151058926,0.95409056987011964,0.18920731127009333,0.40773535102480801,11.119491999999999,
RGI2000-v7.0-G-13-53544,2001,0.53168677567998823,1.0102048737919778,0.152583780880231,0.51825780981005209,20.289476000000001,
RGI2000-v7.0-G-13-53563,2001,0.53168677567998823,1.0102048737919778,0.152583780880231,0.51825780981005209,19.883635000000002,
RGI2000-v7.0-G-13-53613,2001,0.50203172927054984,0.95386028561404468,0.1836278256105407,0.51707952450105465,15.2091675,
RGI2000-v7.0-G-13-53615,2022,0.22976557159127414,0.4365545860234209,0.22416282676908483,0.26155304997923656,6.5126594999999998,
RGI2000-v7.0-G-13-53617,2022,0.22976557159127414,0.4365545860234209,0.22416282676908483,0.26155304997923656,8.7410920000000001,
RGI2000-v7.0-G-13-53645,2022,0.35642733858924247,0.67721194331956069,0.13155544474151387,0.35280137262847627,12.527654999999999,
RGI2000-v7.0-G-13-53649,2001,0.53168677567998823,1.0102048737919778,0.152583780880231,0.51825780981005209,21.612089999999998,
RGI2000-v7.0-G-13-53774,2022,0.29093674496930816,0.55277981544168553,0.20790422286073612,0.33370777668448592,12.49771,
RGI2000-v7.0-G-13-58443,2016,0.24236720545065726,0.46049769035624877,0.26550602925442612,0.15215850869418621,17.408674000000001,
