rgi_id,latitude,longitude,intersection_area_m2,weight
RGI2000-v7.0-G-13-53613,36.25,87.25,1216095.050156331,0.989858929121436
RGI2000-v7.0-G-13-53613,36.50,87.25,12458.85220195167,0.01014107087856394
RGI2000-v7.0-G-13-53615,36.25,87.25,19637096.03188003,1
RGI2000-v7.0-G-13-53617,36.25,87.25,4511569.960948284,1
RGI2000-v7.0-G-13-53645,36.50,87.50,3157174.868382191,1
RGI2000-v7.0-G-13-53649,36.50,87.50,208578.6213909106,1
RGI2000-v7.0-G-13-53774,36.25,87.50,2862380.172699078,1
RGI2000-v7.0-G-13-58443,34.50,81.25,1390195.637677286,1
RGI2000-v7.0-G-13-58740,34.25,80.00,10150063.86818895,1
RGI2000-v7.0-G-13-58772,34.25,79.75,729952.89072802,0.2718180282427491
RGI2000-v7.0-G-13-58772,34.25,80.00,1955494.043925373,0.728181971757251
RGI2000-v7.0-G-13-58791,34.50,79.75,3401522.292730902,1
RGI2000-v7.0-G-13-58810,34.25,80.00,1953076.266045108,1
RGI2000-v7.0-G-13-59135,34.25,80.00,9470545.449115565,1
RGI2000-v7.0-G-13-59153,34.25,79.75,4927100.330171466,1
RGI2000-v7.0-G-13-59658,34.00,82.25,4490235.889956793,1
RGI2000-v7.0-G-13-59664,34.00,82.25,3431893.566941381,1
RGI2000-v7.0-G-13-59888,34.75,82.25,7231533.565816008,0.4603853594833207
RGI2000-v7.0-G-13-59888,34.75,82.50,8476032.751956962,0.5396146405166794
RGI2000-v7.0-G-13-60117,33.50,86.50,1701191.469694581,0.4563079269923807
RGI2000-v7.0-G-13-60117,33.50,86.75,2026974.027905873,0.5436920730076192
RGI2000-v7.0-G-13-60124,33.50,86.75,4053736.88117142,1
RGI2000-v7.0-G-13-60310,31.50,86.75,1340985.44601676,1
RGI2000-v7.0-G-13-62289,28.25,90.00,17390359.97221765,0.9997541331662747
RGI2000-v7.0-G-13-62289,28.25,90.25,4276.764258197509,0.0002458668337252084
RGI2000-v7.0-G-13-62307,28.25,90.00,1539901.436374543,1
RGI2000-v7.0-G-13-62360,28.25,89.75,2404548.32253174,1
RGI2000-v7.0-G-13-62671,30.50,86.50,2528819.386773787,1
RGI2000-v7.0-G-13-63291,30.00,85.00,1209932.224043558,1
RGI2000-v7.0-G-13-63553,30.50,84.25,2014165.223462528,1
RGI2000-v7.0-G-13-64159,29.25,83.75,5057965.715420818,1
RGI2000-v7.0-G-13-64333,30.00,82.50,999666.2413940367,1
RGI2000-v7.0-G-13-64353,30.00,82.50,4454508.650653399,1
RGI2000-v7.0-G-13-64410,30.25,82.00,5342028.096846721,0.4239979691856095
RGI2000-v7.0-G-13-64410,30.25,82.25,7257155.118835599,0.5760020308143905
RGI2000-v7.0-G-13-64411,30.25,82.25,883565.4411061443,1
RGI2000-v7.0-G-13-64657,31.00,82.50,1498249.630553071,1
RGI2000-v7.0-G-13-64675,30.75,82.75,441721.6548194415,0.3489047113539869
RGI2000-v7.0-G-13-64675,31.00,82.75,824302.1059525525,0.6510952886460132
RGI2000-v7.0-G-13-64718,30.75,83.00,1920292.783652999,1
RGI2000-v7.0-G-13-64786,31.00,82.50,2143407.561129789,1
RGI2000-v7.0-G-13-64859,31.00,82.25,121572.6023210362,0.0806434872542923
RGI2000-v7.0-G-13-64859,31.00,82.50,1385958.959870496,0.9193565127457077
RGI2000-v7.0-G-13-65011,30.75,83.25,1592277.70484052,1
RGI2000-v7.0-G-13-65048,30.75,83.25,1033546.882157495,1
RGI2000-v7.0-G-13-65173,30.75,83.25,1230333.464864623,1
RGI2000-v7.0-G-13-65609,31.75,85.00,1847008.853727418,1
RGI2000-v7.0-G-13-65720,35.75,88.50,2117459.861771793,1
RGI2000-v7.0-G-13-65809,35.50,89.75,11087629.67957702,0.9261330451344789
RGI2000-v7.0-G-13-65809,35.75,89.75,884332.3811947592,0.07386695486552106
RGI2000-v7.0-G-13-65939,33.75,89.00,1321327.140635995,1
RGI2000-v7.0-G-13-66450,33.00,92.00,1815529.711857556,1
RGI2000-v7.0-G-13-66555,32.75,92.25,1605159.945169034,0.5871185556784642
RGI2000-v7.0-G-13-66555,32.75,92.50,1128802.266797063,0.4128814443215359
RGI2000-v7.0-G-13-66733,32.75,92.75,4128024.495721356,1
RGI2000-v7.0-G-13-66890,32.75,93.25,2716916.956959463,1
RGI2000-v7.0-G-13-67219,32.75,92.50,997823.2077064922,1
RGI2000-v7.0-G-13-67932,33.25,95.25,1079062.95078227,1
RGI2000-v7.0-G-17-23680,-39.75,288.50,195321.716207315,1
RGI2000-v7.0-G-17-24686,-35.00,290.00,447694.1034183325,1
